team, auto_charge_station_points, auto_grid_points, cube_points, cone_points, endgame_charge_station_points, total,norm_a_c_s_p,norm_a_g_p,norm_c_p,norm_co_p,norm_eg_p
7220,7,5.83,9.49,14.95,7.77,47.37,0.758396533,0.4123055163,0.4764056225,0.4604250077,0.653490328
5414,6.96,5.39,13.83,14.27,8.37,54.51,0.7540628386,0.3811881188,0.6942771084,0.4394825993,0.7039529016
1100,7.01,7.14,9.46,17.81,9.55,53.14,0.7594799567,0.504950495,0.4748995984,0.5485063135,0.803195963
115,8.2,4.99,7.96,19.09,7.65,53.24,0.8884073673,0.3528995757,0.3995983936,0.5879273175,0.6433978133
1403,5.56,5.48,10.76,21.62,8.41,57.66,0.602383532,0.387553041,0.5401606426,0.6658453957,0.7073170732
1771,6.73,12.44,10.94,20.09,7.33,55.05,0.7291440953,0.8797736917,0.5491967871,0.6187249769,0.6164844407
180,8.98,7.72,10.63,18.68,8.11,57.84,0.9729144095,0.5459688826,0.5336345382,0.5753002772,0.6820857864
1868,5.77,11.26,12.62,19.79,9.51,59.21,0.625135428,0.7963224894,0.6335341365,0.6094856791,0.7998317914
2199,8.44,6.05,9.67,16.92,8.01,52.84,0.9144095341,0.427864215,0.4854417671,0.5210963967,0.6736753574
2370,6.36,5.22,12.09,16.98,8.09,52.09,0.6890574215,0.369165488,0.6069277108,0.5229442562,0.6804037006
2451,4.19,5.26,11.48,17.7,8.44,52.85,0.4539544962,0.3719943423,0.5763052209,0.545118571,0.7098402019
2637,4.88,2.34,8.26,7.84,7.58,35.56,0.5287107259,0.1654879774,0.4146586345,0.2414536495,0.637510513
2791,6.4,7.19,8.94,18.11,4.61,46.59,0.6933911159,0.5084865629,0.4487951807,0.5577456113,0.3877207738
2945,3.76,4.51,11.36,2.9,8.87,33.93,0.4073672806,0.3189533239,0.5702811245,0.0893132122,0.7460050463
3008,5.14,2.41,7.37,6.83,6.13,32.38,0.55687974,0.1704384724,0.3699799197,0.2103480136,0.5155592935
302,6.72,6.36,10.45,21.26,10.79,60.71,0.7280606717,0.4497878359,0.5245983936,0.6547582384,0.9074852817
3132,6.81,5.79,7.96,11.07,8.03,39.97,0.7378114843,0.409476662,0.3995983936,0.3409300893,0.6753574432
325,6.91,8.17,10.28,19.95,7.13,55.34,0.7486457205,0.5777934936,0.516064257,0.6144133046,0.5996635828
3284,5.04,3.07,6.74,7.74,6.78,31.38,0.5460455038,0.2171145686,0.3383534137,0.2383738836,0.5702270816
333,6.22,6.97,9.91,13.66,8.98,46.43,0.6738894908,0.4929278642,0.4974899598,0.4206960271,0.7552565181
3341,2.95,4.85,6.48,5.1,1.78,19.38,0.3196099675,0.3429985856,0.3253012048,0.1570680628,0.149705635
343,5.19,7.38,12.89,14.8,8.72,51.95,0.5622968581,0.5219236209,0.6470883534,0.4558053588,0.7333894029
3489,4.2,3.27,6.15,7.33,6.77,28.74,0.4550379198,0.2312588402,0.3087349398,0.2257468432,0.5693860387
3526,3.19,0.66,6.88,4.3,3.51,22.99,0.3456121343,0.04667609618,0.3453815261,0.1324299353,0.2952060555
3616,5.82,4.56,8.67,11.27,8.67,42.38,0.630552546,0.3224893918,0.4352409639,0.3470896212,0.7291841884
3749,4.59,5.11,7.57,12.73,6.96,39.09,0.497291441,0.3613861386,0.3800200803,0.3920542039,0.5853658537
399,5.87,5.26,12.57,4.31,5.28,33.06,0.6359696641,0.3719943423,0.6310240964,0.1327379119,0.4440706476
3990,7.95,7.24,9.4,18.51,8.28,54.25,0.8613217768,0.5120226308,0.4718875502,0.5700646751,0.6963835156
4003,6.76,7.7,8.61,19.07,5.17,51.63,0.7323943662,0.5445544554,0.4322289157,0.5873113643,0.4348191758
4010,6.91,6.22,17.86,5.32,9.46,52.58,0.7486457205,0.4398868458,0.8965863454,0.1638435479,0.795626577
4131,7.56,6.95,11.4,17.76,7.18,54.6,0.8190682557,0.4915134371,0.5722891566,0.5469664306,0.6038687973
4253,5.52,7.86,9.52,19.21,9.65,54.2,0.5980498375,0.5558698727,0.4779116466,0.5916230366,0.8116063919
4270,4.72,6.7,11.26,19.51,11.27,59.31,0.511375948,0.4738330976,0.5652610442,0.6008623345,0.9478553406
4392,3.67,9.53,10.42,18.1,6.85,48.06,0.397616468,0.6739745403,0.5230923695,0.5574376347,0.5761143818
449,6.26,7.22,9.07,18.27,7.89,51.89,0.6782231853,0.5106082037,0.4553212851,0.5626732368,0.6635828427
4766,6.22,4.63,15.33,7.27,9.54,48.73,0.6738894908,0.3274398868,0.7695783133,0.2238989837,0.8023549201
4788,3.09,3.62,6.39,12.94,3.8,31.42,0.3347778982,0.2560113154,0.3207831325,0.3985217123,0.3195962994
5687,7.91,8.2,11.67,21.51,5.63,57.86,0.8569880823,0.5799151344,0.5858433735,0.6624576532,0.4735071489
5727,5.86,9.58,14.43,18.08,6.95,60.19,0.6348862405,0.6775106082,0.7243975904,0.5568216816,0.5845248108
5901,6.58,6.21,8.48,15.16,10.61,48.72,0.7128927411,0.4391796322,0.4257028112,0.4668925162,0.8923465097
5907,8.92,6.53,9.34,18,7.7,54.12,0.9664138678,0.4618104668,0.468875502,0.5543578688,0.6476030278
6348,5.99,5.8,8.37,9.45,9.1,36.47,0.6489707476,0.4101838755,0.4201807229,0.2910378811,0.7653490328
6358,3.8,2.65,2.69,8.23,8.07,25.61,0.4117009751,0.1874115983,0.1350401606,0.2534647367,0.6787216148
6413,3.9,7.05,6,12.59,7.03,36.45,0.4225352113,0.4985855728,0.3012048193,0.3877425316,0.5912531539
649,6.55,7.96,10.04,17.9,7.05,52,0.7096424702,0.5629420085,0.5040160643,0.5512781029,0.5929352397
6586,2.67,3.48,6.57,3.19,6.8,21.58,0.2892741062,0.2461103253,0.3298192771,0.09824453342,0.5719091674
6647,4.73,4.2,7.36,6.64,7.16,31.74,0.5124593716,0.297029703,0.3694779116,0.2044964583,0.6021867115
6652,3.82,2.19,5,3.66,4.15,18.34,0.4138678223,0.1548797737,0.2510040161,0.1127194333,0.3490328007
6868,3.05,2.75,8.53,6.58,6.43,29.34,0.3304442037,0.1944837341,0.4282128514,0.2026485987,0.5407905803
6995,5.58,6.17,7.83,18.9,6.14,45.76,0.6045503792,0.4363507779,0.3930722892,0.5820757622,0.5164003364
6998,4.55,1.94,6.56,3.13,6.06,22.63,0.4929577465,0.1371994342,0.3293172691,0.09639667385,0.5096719933
7021,5.84,7.76,10.51,21.87,9.86,59.11,0.6327193933,0.5487977369,0.5276104418,0.6735448106,0.8292682927
7042,5.11,6.51,7.17,7.14,6.71,29.94,0.5536294691,0.4603960396,0.359939759,0.219895288,0.5643397813
7534,2.74,1.07,6.6,2.9,6.82,22.97,0.2968580715,0.0756718529,0.3313253012,0.0893132122,0.5735912532
7565,5.28,6.36,10.31,13.64,5.54,43.04,0.5720476706,0.4497878359,0.5175702811,0.4200800739,0.4659377628
8046,6.73,7.26,10.88,16.85,9.63,54.48,0.7291440953,0.513437058,0.546184739,0.5189405605,0.8099243061
8177,5.67,7.57,11.62,21.23,7.16,58.01,0.6143011918,0.5353606789,0.5833333333,0.6538343086,0.6021867115
818,8.08,7.68,11.22,18.08,6.92,56.57,0.8754062839,0.5431400283,0.563253012,0.5568216816,0.5820016821
8393,6.86,6.19,7.77,12.9,6.17,40.89,0.7432286024,0.4377652051,0.390060241,0.397289806,0.5189234651
840,5,4.23,4.26,10.51,5.18,28.67,0.5417118093,0.2991513437,0.2138554217,0.3236834001,0.4356602187
