red_1,red_2,red_3,blue_1,blue_2,blue_3,win
7102,5133,4584,6483,3478,5932,blue
7102,4010,9280,9593,4403,4782,red
4775,9213,5133,9301,6106,5716,red
7546,9282,5948,6017,7421,5887,blue
4635,5932,3522,3472,4735,6676,red
6652,7725,6647,9280,3158,9053,blue
4400,6832,9301,3526,5948,3794,red
3158,4775,6676,4010,7546,5959,red
7546,4400,6017,6647,7102,5716,red
4782,3478,4635,3472,4403,7421,red
7546,4400,6017,3158,3522,3794,blue
7421,4403,3472,3158,3522,3794,red
4782,3478,4635,6652,5887,9053,red
3794,3522,3158,6647,7102,5716,red
7421,4403,3472,5959,4010,9280,red
7546,4400,6017,5948,9301,3526,red
9053,5887,6652,6647,7102,5716,blue
9280,4010,5959,5948,9301,4723,red
4782,3478,4635,3158,3522,3794,red
7421,4403,3472,6017,4400,7546,red
3794,3522,3158,5959,4010,9280,red
8048,581,1678,604,9470,3256,red
8048,581,1678,604,9470,3256,blue
8048,581,1678,604,9470,3256,red
841,8546,253,6884,5104,6918,red
1868,192,9114,2367,9504,4990,blue
6884,3008,3859,670,2473,7419,blue
1678,8048,2035,3309,987,7413,red
1351,604,841,6348,1967,9470,red
6918,100,8546,3189,5026,6238,blue
668,2288,2367,4990,7413,6884,red
2073,9114,7419,3309,841,5027,red
9504,8546,5026,972,2473,1868,blue
100,253,2035,3859,9470,8048,blue
3008,670,3189,581,1967,1351,blue
5026,9125,2367,7419,2035,8404,red
5104,604,8404,1678,6918,2813,tie
192,3256,6348,987,6238,9125,blue
841,7413,5026,670,2288,3859,blue
2813,4990,100,9504,1967,7419,red
1868,2367,8048,604,6238,581,blue
987,972,2073,6884,8404,253,red
9114,8546,668,1678,3008,3256,blue
9125,2473,3309,6918,192,1351,red
6348,5104,3189,5027,2035,9470,red
7419,581,3859,8404,8048,2073,red
2473,668,1351,6348,2073,4990,red
3309,1868,1967,668,6884,670,red
